run_number,rate_avg_value
47842,333262.1236684974
47841,1028950.9229655173
47840,879650.7166528736
47839,422790.9815770115
47838,442885.7412812594
47837,929958.5539500108
47836,922703.9244414986
47835,632472.0626310589
47834,1057244.1795442952
47833,375844.2586206897
47832,333863.67738088587
47831,1033221.0499500823
47830,
47829,1020036.8807112068
47828,1078081.9632123634
47827,
47826,
47825,1125751.9074074074
47824,1054520.4816008674
47823,
47822,685284.3843971265
47821,1086633.2738209253
47820,
47819,
47818,
47815,1111329.8839243145
47814,1193067.0714285714
47813,828142.809781456
47812,907356.525
47811,1001026.4833642466
47810,1035371.9710844759
47809,
47808,345855.84671362623
47807,1208193.2670319169
47806,
47804,375899.4714959604
47802,1117712.2427278834
47801,
47800,1310115.6681280788
47799,213692.2931034483
47798,1075282.8154716052
47797,1195117.1896551726
47795,1171882.327586207
47794,1182186.9310344828
47793,814226.0208333335
47792,1154907.2068965517
47791,1095462.823203911
47790,
47788,0
47787,
47786,216353.93719410652
47785,1034270.2413793104
47783,1214541.8659752193
47781,0
47780,
47779,94602.43377724868
47778,1293353.4999333334
47777,1303668.0804154351
47776,
47774,
